MLS Number,Street Address,zip_code,county,County_Index,List Price,Sale Price,Age,Sq Ft Total,Lot Size,Days On Market,Listing Date,Sale Date,Year Built,Listing Year,Sale Year
BA321059794,10 Elinor AVE ,94941,Marin,17,2295000,2500000,98,1411,9901,0,7/5/2021 0:00,7/5/2021 0:00,1923,2021,2021
BE40953933,48 Centennial Way ,94583,Contra Costa,4,1475000,1710000,25,2087,10193,5,6/17/2021 0:00,6/22/2021 0:00,1996,2021,2021
CNSR19251829,45614 10th ST ,93534,Los Angeles,0,234432,239000,65,1320,6050,8,10/25/2019 0:00,11/2/2019 0:00,1956,2019,2019
CNSR21123295,5003 Blackpool AVE ,91377,Ventura,12,1275000,1355000,34,2475,16524,5,6/9/2021 0:00,6/14/2021 0:00,1987,2021,2021
CRDW21128597,8770 Parkcliff ST ,90242,Los Angeles,0,657000,657000,53,1833,10444,1,6/13/2021 0:00,6/14/2021 0:00,1968,2021,2021
CRIV21125497,5784 Northview PL ,92506,Riverside,3,534000,550000,68,2069,8712,4,6/10/2021 0:00,6/14/2021 0:00,1953,2021,2021
CRNDP2107003,1078 Vanessa Way ,92078,San Diego,7,1575000,1600000,6,3229,12094,1,5/27/2021 0:00,5/28/2021 0:00,2015,2021,2021
CRNDP2108008,3471 Calle Margarita ,92024,San Diego,7,4000000,3900000,19,7623,131551,0,7/9/2021 0:00,7/9/2021 0:00,2002,2021,2021
CROC21111207,9643 Ellis AVE ,92708,Orange,1,939000,1010000,57,1663,7137,25,5/22/2021 0:00,6/16/2021 0:00,1964,2021,2021
CRPW21126263,18582 Woodwind LN ,92807,Orange,1,750000,760000,57,1966,8395,3,6/9/2021 0:00,6/12/2021 0:00,1964,2021,2021
EB40953437,1221 Ward Street ,94702,Alameda,5,899000,1100000,99,1199,3500,8,6/9/2021 0:00,6/17/2021 0:00,1922,2021,2021
EB40954370,149 Pomona Ave ,94530,Contra Costa,4,998000,1552000,75,1477,4100,14,6/15/2021 0:00,6/29/2021 0:00,1946,2021,2021
ME202003408,32 Galaxy AVE ,95966,Butte,9,399999,399999,16,2416,9583,33,11/20/2020 0:00,12/23/2020 0:00,2005,2020,2020
ME221050879,7001 Burnham DR ,95621,Sacramento,2,510000,573375,47,1650,9583,6,6/11/2021 0:00,6/17/2021 0:00,1974,2021,2021
ME221059999,11541 Sutters Mill CIR ,95670,Sacramento,2,525000,552500,38,1806,8372,7,6/17/2021 0:00,6/24/2021 0:00,1983,2021,2021
ME221069211,11796 Azalea Garden WAY ,95742,Sacramento,2,560000,574250,16,1973,6717,5,6/17/2021 0:00,6/22/2021 0:00,2005,2021,2021
ML81848045,785 Ponderosa AVE ,94086,Santa Clara,6,1798000,2320000,58,1533,6100,7,6/9/2021 0:00,6/16/2021 0:00,1963,2021,2021
ML81848306,6986 El Marcero CT ,95119,Santa Clara,6,1149000,1289700,51,1300,6137,6,6/10/2021 0:00,6/16/2021 0:00,1970,2021,2021
TM21-746730,21165 Entrada RD ,90290,Los Angeles,0,2395000,2370000,29,2680,21119,7,6/9/2021 0:00,6/16/2021 0:00,1992,2021,2021
BA321051093,1069 Meadowsweet DR ,94925,Marin,17,1549000,1725000,46,2392,23806,29,6/9/2021 0:00,7/8/2021 0:00,1975,2021,2021
BA321051538,602 Hummingbird WAY ,94585,Solano,14,495000,565000,44,1700,6098,5,6/10/2021 0:00,6/15/2021 0:00,1977,2021,2021
BA321054144,214 Forrest AVE ,94930,Marin,17,985000,1105000,48,1280,5998,7,6/17/2021 0:00,6/24/2021 0:00,1973,2021,2021
BA321054314,22 Washington ST ,94947,Marin,17,750000,865000,61,1643,9239,6,6/23/2021 0:00,6/29/2021 0:00,1960,2021,2021
BA321055023,1544 Hughes AVE ,95407,Sonoma,13,649000,675000,20,1981,6534,33,6/18/2021 0:00,7/21/2021 0:00,2001,2021,2021
BA321064610,6580 Rutgers DR ,95472,Sonoma,13,925000,950000,54,1378,22198,28,5/29/2021 0:00,6/26/2021 0:00,1967,2021,2021
CC40958076,8452 Deervale Rd ,94568,Alameda,5,895000,840000,61,1116,6555,16,3/10/2021 0:00,3/26/2021 0:00,1960,2021,2021
CC40958219,1099 Oak Hill Rd ,94549,Contra Costa,4,2710000,2710000,18,3205,27880,1,6/10/2021 0:00,6/11/2021 0:00,2003,2021,2021
CNSR21127062,9331 Rhea AVE ,91324,Los Angeles,0,841000,841000,64,1434,7875,9,6/14/2021 0:00,6/23/2021 0:00,1957,2021,2021
CRCV21119413,700 E Bennett AVE ,91741,Los Angeles,0,899900,900000,69,2155,12430,10,6/9/2021 0:00,6/19/2021 0:00,1952,2021,2021
CRCV21123771,543 Garden AVE ,91767,Los Angeles,0,699000,710000,10,1831,4939,4,6/9/2021 0:00,6/13/2021 0:00,2011,2021,2021
CRIG21125718,1843 Kapalua Bay CIR ,92883,Riverside,3,1025000,1020000,18,2617,17528,6,6/10/2021 0:00,6/16/2021 0:00,2003,2021,2021
CRMC21124996,2325 Fay DR ,95301,Merced,27,339900,360000,43,1330,8276,4,6/10/2021 0:00,6/14/2021 0:00,1978,2021,2021
CRNDP2106894,13114 Winstanley WAY ,92130,San Diego,7,2150000,2150000,22,3708,7840.8,0,6/15/2021 0:00,6/15/2021 0:00,1999,2021,2021
CRNDP2107318,5137 Mandarin DR ,92056,San Diego,7,550000,580000,34,990,6216,12,6/15/2021 0:00,6/27/2021 0:00,1987,2021,2021
CRPI21137827,624 E Monroe ST ,93454,Santa Barbara,29,462000,462000,59,1288,6970,0,5/27/2021 0:00,5/27/2021 0:00,1962,2021,2021
CRPTP2104093,913 8Th ST ,92118,San Diego,7,1300000,1300000,90,1026,2066,83,2/17/2021 0:00,5/11/2021 0:00,1931,2021,2021
CRPTP2104241,2607 Santa Maria CT ,91914,San Diego,7,949000,900000,21,2063,9318,10,6/17/2021 0:00,6/27/2021 0:00,2000,2021,2021
CRWS21120588,180 Roca WAY ,91754,Los Angeles,0,868000,904000,67,1611,9802,13,6/2/2021 0:00,6/15/2021 0:00,1954,2021,2021
ME202000355,3864 Hildale AVE ,95966,Butte,9,299000,300000,58,1614,26572,33,1/31/2020 0:00,3/4/2020 0:00,1963,2020,2020
ME221053017,3306 Appian WAY ,95762,El Dorado,18,1595000,1655000,20,3569,70567,9,6/9/2021 0:00,6/18/2021 0:00,2001,2021,2021
ME221068374,2828 Boxcar ,95765,Placer,10,650000,650000,1,1819,5297,3,6/17/2021 0:00,6/20/2021 0:00,2020,2021,2021
ME221069198,1300 Champion Oaks ,95661,Placer,10,420000,430000,59,1135,6512,8,6/24/2021 0:00,7/2/2021 0:00,1962,2021,2021
ME221074848,4603 Monte Mar DR ,95762,El Dorado,18,599000,625000,16,1703,6970,5,6/25/2021 0:00,6/30/2021 0:00,2005,2021,2021
ML81848078,48 Sister City WAY ,95020,Santa Clara,6,898000,898000,7,2069,2794,7,6/9/2021 0:00,6/16/2021 0:00,2014,2021,2021
ML81848203,102 Nueva AVE ,94061,San Mateo,11,1298000,1385000,66,910,4185,8,6/10/2021 0:00,6/18/2021 0:00,1955,2021,2021
ML81848740,16553 Mira Bella PL ,95037,Santa Clara,6,1249000,1380000,26,2224,7313,7,6/14/2021 0:00,6/21/2021 0:00,1995,2021,2021
ML81849898,660 Moreno LN ,95050,Santa Clara,6,1950000,1950000,74,2499,9297,1,6/19/2021 0:00,6/20/2021 0:00,1947,2021,2021
ML81850343,514 Castilian WAY ,94402,San Mateo,11,1998000,2260000,81,1310,5778,0,6/22/2021 0:00,6/22/2021 0:00,1940,2021,2021
ML81850634,1686 30th AVE ,94122,San Francisco,19,1288000,1590000,83,1400,2063,4,6/24/2021 0:00,6/28/2021 0:00,1938,2021,2021
SF421563340,619 Geneva AVE ,94112,San Francisco,19,998000,1285000,94,1149,2200,9,6/14/2021 0:00,6/23/2021 0:00,1927,2021,2021
TM21-747594,8235 Tuscany AVE ,90293,Los Angeles,0,1549000,1657500,67,1563,5401,70,4/13/2021 0:00,6/22/2021 0:00,1954,2021,2021
BA321051077,4179 Tokay DR ,94558,Napa,25,995000,1180000,30,2561,8895,6,6/9/2021 0:00,6/15/2021 0:00,1991,2021,2021
BA321053787,718 Chelmsford CT ,95688,Solano,14,610000,660000,32,1722,7401,7,6/15/2021 0:00,6/22/2021 0:00,1989,2021,2021
BA321060774,21 Cove RD ,94920,Marin,17,2997000,3001700,72,2130,6599,17,6/7/2021 0:00,6/24/2021 0:00,1949,2021,2021
BA321061632,1056 Peggotty PL ,95401,Sonoma,13,550000,550000,43,1096,3498,0,7/6/2021 0:00,7/6/2021 0:00,1978,2021,2021
