Status,Street Address (Full),Zip Code,List Price,Sale Price,Age,Sq Ft Total,Lot Size,DOM,MLS Number ,Listing Date,Sale Date,Close Date,Original List Price,Year Built,Check price Sale/List Percent
,Coefficients,Standard Error,t Stat,P-value,Lower 95%,Upper 95%,,,,,,,,,
Intercept," 52,068.74 "," 234,679.20 ", 0.22 , 0.83 ," (416,352.90)"," 520,490.37 ",,,,,,,,,
Age," 7,052.33 "," 2,595.55 ", 2.72 , 0.01 ," 1,871.60 "," 12,233.07 ",,,,,,,,,
Sq Ft Total, 722.30 , 74.40 , 9.71 , 0.00 , 573.80 , 870.80 ,,,,,,,,,
Lot Size, (2.78), 4.72 , (0.59), 0.56 , (12.21), 6.65 ,,,,,,,,,
DOM, (156.32)," 9,139.61 ", (0.02), 0.99 ," (18,399.07)"," 18,086.42 ",,,,,,,,,
Lot Size,0,0,65535,#NUM!,0,0,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RESIDUAL OUTPUT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Observation,Predicted Sale Price,Residuals,True Sale Price,True/Predict Percent,,,,,,,,,,,
1,3129508.492,102491.5083,3232000,3.3%,,,,,,,,,,,
2,2395452.817,479547.1825,2875000,20.0%,,,,,,,,,,,
3,3341901.315,-541901.3147,2800000,-16.2%,,,,,,,,,,,
4,1922241.776,857758.2244,2780000,44.6%,,,,,,,,,,,
5,2123825.913,476174.0873,2600000,22.4%,,,,,,,,,,,
6,2138057.685,376942.3147,2515000,17.6%,,,,,,,,,,,
7,1910154.286,514845.7139,2425000,27.0%,,,,,,,,,,,
8,1328546.262,1096453.738,2425000,82.5%,,,,,,,,,,,
9,1939693.827,460306.1731,2400000,23.7%,,,,,,,,,,,
10,2119558.982,239441.0183,2359000,11.3%,,,,,,,,,,,
11,1898034.914,260853.0859,2158888,13.7%,,,,,,,,,,,
12,2546340.433,-396340.4326,2150000,-15.6%,,,,,,,,,,,
13,2290609.272,-170609.2723,2120000,-7.4%,,,,,,,,,,,
14,1828607.52,271392.4804,2100000,14.8%,,,,,,,,,,,
15,1724197.905,335802.0951,2060000,19.5%,,,,,,,,,,,
