Status,Street Address (Full),List Price,Sale Price,Age,Sq Ft Total,Lot Size,Listing Date,Sale Date,Close Date,DOM,Zip Code,Original List Price,Year Built,Lot Size,MLS Number ,,
Sold,17259 Clearview DR ,4698000,5225000,4,3697,14536,6/15/2021 0:00,6/24/2021 0:00,7/20/2021 0:00,9,95032,4698000,2017,14536,ML81848578,,
Sold,638 Springer TER ,4498000,5225000,13,2956,10200,6/10/2021 0:00,6/16/2021 0:00,7/12/2021 0:00,6,94024,4498000,2008,10200,ML81848242,,
Sold,1320 Miravalle AVE ,5298000,5215000,34,4753,15360,6/24/2021 0:00,6/30/2021 0:00,7/15/2021 0:00,6,94024,5298000,1987,15360,ML81850581,,
Sold,512 Robinwood DR ,4995000,5200000,0,3700,7500,7/13/2021 0:00,7/13/2021 0:00,7/13/2021 0:00,0,90049,4995000,2021,7500,TM21-752372,,
Sold,471 Raquel LN ,4480000,5200000,50,3469,12671,6/10/2021 0:00,6/17/2021 0:00,7/13/2021 0:00,7,94022,4480000,1971,12671,ML81848219,,
Sold,400 S Bay Front ,5150000,5150000,-1,2721,2550,7/19/2021 0:00,7/19/2021 0:00,7/19/2021 0:00,0,92662,5150000,2022,2550,CRLG21158241,,
Sold,16781 Littlefield LN ,5000000,5050000,6,5701,12322,6/26/2021 0:00,6/26/2021 0:00,6/26/2021 0:00,0,95032,5000000,2015,12322,ML81850973,,
Sold,501 N Poinsettia AVE ,4675000,5008000,80,1388,5720,6/23/2021 0:00,7/7/2021 0:00,7/21/2021 0:00,14,90266,4675000,1941,5720,CRSB21136990,,
Sold,11560 Chiquita ST ,5000000,5000000,85,5515,31507,12/18/2020 0:00,12/18/2020 0:00,6/21/2021 0:00,0,91604,5000000,1936,31507,CNSR21137260,,
Sold,2 Rue Biarritz ,4999000,5000000,0,3949,5130,5/22/2021 0:00,5/22/2021 0:00,6/14/2021 0:00,0,92660,4999000,2021,5130,CRNP21129013,,
Sold,1975 Port Bristol CIR ,4995000,4995000,0,4522,7581,4/1/2021 0:00,4/1/2021 0:00,6/25/2021 0:00,0,92660,4995000,2021,7581,CRNP21068210,,
Sold,16815 Livorno DR ,5000000,4950000,3,4656,6450,6/21/2021 0:00,6/21/2021 0:00,6/21/2021 0:00,0,90272,5000000,2018,6450,TM21-748064,,
Sold,2492 Glenneyre ST ,4950000,4950000,31,4350,5000,6/12/2021 0:00,6/15/2021 0:00,6/29/2021 0:00,3,92651,4950000,1990,5000,CRLG21127787,,
Sold,27 Reserve ,4995000,4890000,14,5639,15821,6/15/2021 0:00,6/23/2021 0:00,7/19/2021 0:00,8,92603,4995000,2007,15821,CROC21124620,,
Sold,1224 Arbor CT ,3849000,4851000,58,2822,9102,6/26/2021 0:00,6/27/2021 0:00,7/2/2021 0:00,1,94040,3849000,1963,9102,ML81850748,,
Sold,1611 Adams ST ,4825000,4825000,113,4018,15856,7/5/2021 0:00,7/13/2021 0:00,7/16/2021 0:00,8,94574,4825000,1908,15856,BA321059399,,
Sold,20 N Vista De Catalina ,4750000,4750000,52,3611,7200,5/5/2021 0:00,5/5/2021 0:00,6/30/2021 0:00,0,92651,4750000,1969,7200,CROC21033919,,
Sold,2115 Bush ST ,4750000,4750000,121,3500,4260,6/13/2021 0:00,6/29/2021 0:00,7/8/2021 0:00,16,94115,4750000,1900,4260,SF421561422,,
Sold,8 Turtle Rock CT ,4575000,4725000,28,5028,27717,5/24/2021 0:00,5/24/2021 0:00,5/24/2021 0:00,0,94920,4575000,1993,27717,BA321053483,,
Sold,448 Lovall Valley Road ,4495000,4650000,5,3000,21780,6/17/2021 0:00,6/29/2021 0:00,7/6/2021 0:00,12,95476,4495000,2016,21780,BA321054179,,
Sold,721 Marlin DR ,4399000,4650000,28,4700,8250,5/31/2021 0:00,6/13/2021 0:00,7/6/2021 0:00,13,92651,4399000,1993,8250,CRLG21125208,,
Sold,18625 SAGE CT ,4398000,4632000,21,3929,23416,6/19/2021 0:00,6/29/2021 0:00,7/8/2021 0:00,10,95070,4398000,2000,23416,ML81848876,,
Sold,69 S Knoll RD ,3995000,4605000,12,3545,11487,6/22/2021 0:00,6/25/2021 0:00,7/8/2021 0:00,3,94941,3995000,2009,11487,BA321053332,,
Sold,1904 Palm AVE ,4600000,4600000,3,3768,4482,6/10/2021 0:00,6/10/2021 0:00,7/8/2021 0:00,0,90266,4600000,2018,4482,CRSB21124445,,
Sold,2630 Seaview AVE ,4575000,4575000,18,3409,3750,6/14/2021 0:00,6/14/2021 0:00,6/14/2021 0:00,0,92625,4575000,2003,3750,CROC21128823,,
Sold,226 Jasmine AVE ,4498000,4550000,67,1284,5310,6/10/2021 0:00,6/25/2021 0:00,7/9/2021 0:00,15,92625,4498000,1954,5310,CROC21126585,,
Sold,510 Biscayne DR ,3695000,4510000,29,8525,68389,6/23/2021 0:00,6/30/2021 0:00,7/12/2021 0:00,7,94901,3695000,1992,68389,BA321056750,,
Sold,43 Willow AVE ,3995000,4500000,33,2594,11400,5/19/2021 0:00,5/28/2021 0:00,7/2/2021 0:00,9,94957,3995000,1988,11400,BA321063410,,
Sold,4045 Orme ST ,4350000,4500000,70,2604,18738,6/22/2021 0:00,6/30/2021 0:00,7/16/2021 0:00,8,94306,4350000,1951,18738,ML81850299,,
Sold,740 Creek DR ,4295000,4500000,82,2975,12463,6/21/2021 0:00,6/29/2021 0:00,7/6/2021 0:00,8,94025,4295000,1939,12463,ML81849981,,
Sold,1038 Goldenrod AVE ,4649000,4500000,35,2732,10240,6/19/2021 0:00,6/20/2021 0:00,7/19/2021 0:00,1,92625,4649000,1986,10240,CRNP21131561,,
Sold,21 Niven WAY ,4495000,4491000,54,2993,7701,6/7/2021 0:00,6/15/2021 0:00,6/25/2021 0:00,8,94939,4495000,1967,7701,BA321058487,,
Sold,1985 Westside RD ,4500000,4450000,59,2315,274428,5/27/2021 0:00,5/27/2021 0:00,6/15/2021 0:00,0,95448,4500000,1962,274428,BA321031194,,
Sold,312 Silvia DR ,3798000,4425000,72,2384,9425,6/10/2021 0:00,6/17/2021 0:00,7/21/2021 0:00,7,94024,3798000,1949,9425,ML81848260,,
Sold,1525 Buena ,4500000,4400000,67,6970,12632,6/24/2021 0:00,6/24/2021 0:00,6/30/2021 0:00,0,92672,4500000,1954,12632,CROC21131678,,
Sold,155 Massol AVE ,3778000,4325000,18,3150,9234,6/14/2021 0:00,6/17/2021 0:00,6/30/2021 0:00,3,95030,3778000,2003,9234,ML81848563,,
Sold,235 Poplar DR ,3350000,4300000,73,2986,618116400,7/20/2021 0:00,7/20/2021 0:00,7/20/2021 0:00,0,94904,3350000,1948,618116400,BA321067594,,
Sold,2 S Portola ,4195000,4250000,81,2527,4104,5/6/2021 0:00,6/24/2021 0:00,7/14/2021 0:00,49,92651,4195000,1940,4104,CRNP21120019,,
Sold,118 Woodland AVE ,3795000,4250000,99,3437,2596,6/10/2021 0:00,6/17/2021 0:00,7/1/2021 0:00,7,94117,3795000,1922,2596,SF421561284,,
Sold,19515 Shirley CT ,4200000,4200000,0,6319,17074,12/4/2020 0:00,6/15/2021 0:00,6/15/2021 0:00,193,91356,4200000,2021,17074,TM21-750626,,
Sold,25325 Prado De Los Gansos ,4200000,4200000,18,6678,16526,6/1/2021 0:00,6/3/2021 0:00,6/9/2021 0:00,2,91302,4200000,2003,16526,CRAR21125404,,
Sold,2771 Bayshore DR ,4195000,4195000,75,2641,4000,6/27/2021 0:00,6/28/2021 0:00,6/28/2021 0:00,1,92663,4195000,1946,4000,CRNP21140680,,
Sold,9 Gardiner Ct ,3475000,4190000,14,7212,46000,6/10/2021 0:00,6/14/2021 0:00,6/25/2021 0:00,4,94563,3475000,2007,46000,CC40953636,,
Sold,11 Garland PL ,4180000,4180000,55,2190,9900,6/18/2021 0:00,6/18/2021 0:00,6/18/2021 0:00,0,94025,4180000,1966,9900,ML81849820,,
Sold,68 Lagoon RD ,4100000,4157000,65,1954,7675,5/25/2021 0:00,6/1/2021 0:00,6/17/2021 0:00,7,94920,4100000,1956,7675,BA321056642,,
Sold,472 Edgewood RD ,4195000,4125000,94,3130,13500,6/9/2021 0:00,6/22/2021 0:00,7/21/2021 0:00,13,94402,4195000,1927,13500,ML81847992,,
Sold,23 Castaways ,3995000,4085000,23,3668,7424,6/25/2021 0:00,6/28/2021 0:00,7/16/2021 0:00,3,92660,3995000,1998,7424,CRPW21138889,,
Sold,201 Glasgow LN ,3448000,4080000,30,2928,10895,6/10/2021 0:00,6/17/2021 0:00,7/8/2021 0:00,7,94070,3448000,1991,10895,ML81848188,,
Sold,21881 Hermosa AVE ,4058800,4058800,2,3502,10640,6/16/2021 0:00,6/16/2021 0:00,6/16/2021 0:00,0,95014,4058800,2019,10640,ML81849283,,
Sold,10 Tattersall ,4052000,4052000,36,5045,15700,7/8/2021 0:00,7/8/2021 0:00,7/8/2021 0:00,0,92677,4052000,1985,15700,CRNP21148183,,
Sold,53 Oakwood Rd ,3795000,4030000,6,4405,27322,6/23/2021 0:00,6/30/2021 0:00,7/12/2021 0:00,7,94563,3795000,2015,27322,EB40955620,,
Sold,35271 Camino Capistrano ,4188000,4015000,42,3500,10600,6/9/2021 0:00,6/18/2021 0:00,7/14/2021 0:00,9,92624,4188000,1979,10600,CROC21126390,,
Sold,329 Pacific Ave ,3495000,4005000,66,3312,6716,6/18/2021 0:00,6/20/2021 0:00,7/6/2021 0:00,2,94611,3495000,1955,6716,EB40954288,,
Sold,460 Mendoza Terrace ,4000000,4000000,0,5000,7280,7/8/2021 0:00,7/8/2021 0:00,7/12/2021 0:00,0,92625,4000000,2021,7280,CRNP21148963,,
Sold,2100 E Ocean BLVD ,3699000,4000000,40,2867,3239,6/23/2021 0:00,6/29/2021 0:00,7/19/2021 0:00,6,92661,3699000,1981,3239,TM21-752762,,
