MLS Number,county,County_Index,Year_Sale,List Price,Sale Price,DOM,Sale Date
BA321051733,Sonoma,13,2021,1200000,1300000,0,6/8/2021 0:00
BA321060814,Sonoma,13,2021,495000,610000,0,7/1/2021 0:00
ME221065162,Placer,10,2021,1100000,1230000,5,6/15/2021 0:00
ME202101033,Sutter,23,2021,410000,420000,1,4/28/2021 0:00
TM21-753778,Los Angeles,0,2021,1049000,1075000,0,5/25/2021 0:00
CNSR21111379,Los Angeles,0,2021,865000,1035000,7,6/29/2021 0:00
CROC21130139,Los Angeles,0,2021,980000,1100000,1,6/17/2021 0:00
CRCV21111798,Los Angeles,0,2021,565000,606000,30,6/21/2021 0:00
CRPTP2104426,San Diego,7,2021,680000,680000,28,6/29/2021 0:00
CRNDP2106950,San Diego,7,2021,849000,1052000,5,6/21/2021 0:00
CRNDP2106631,San Diego,7,2021,715000,745000,2,6/10/2021 0:00
CROC21124784,San Diego,7,2021,949999,948888,2,6/11/2021 0:00
CRCV21158267,San Bernardino,8,2021,154900,154900,0,5/14/2021 0:00
CREV21083999,San Bernardino,8,2021,379000,379000,7,6/21/2021 0:00
CRIG21136415,Riverside,3,2021,184900,200000,7,7/1/2021 0:00
CRNP21129081,Orange,1,2021,1400000,1400000,0,6/3/2021 0:00
CRPW21126879,Orange,1,2021,1495000,1475000,10,6/14/2021 0:00
CRPW21134268,Orange,1,2021,750000,790000,7,6/28/2021 0:00
CRPW21124621,Orange,1,2021,999000,1050000,7,6/17/2021 0:00
ML81849616,Monterey,22,2021,850000,875000,16,7/4/2021 0:00
BE40955121,Alameda,5,2021,998000,1155000,0,6/18/2021 0:00
BE40953972,Alameda,5,2021,1199000,1344400,6,6/17/2021 0:00
BA321053331,Solano,14,2021,499000,570000,15,6/30/2021 0:00
BA321051549,Solano,14,2021,595000,665000,7,6/23/2021 0:00
BA321052795,Marin,17,2021,915000,925000,12,6/1/2021 0:00
ME221065510,Stanislaus,16,2021,374900,405000,5,6/15/2021 0:00
ME221068442,Stanislaus,16,2021,429900,430000,2,6/17/2021 0:00
ME202002879,Placer,10,2020,429999,415000,12,10/7/2020 0:00
ME221065220,Sacramento,2,2021,396000,396000,11,6/20/2021 0:00
ME201900316,Butte,9,2019,304900,310000,8,2/8/2019 0:00
TM21-746168,Los Angeles,0,2021,1599000,2005000,9,6/19/2021 0:00
TM21-749140,Los Angeles,0,2021,1350000,1472120,13,6/28/2021 0:00
CNSR21143138,Los Angeles,0,2021,2849000,3100000,6,7/7/2021 0:00
CRP1-5175,Los Angeles,0,2021,899000,1006600,10,6/21/2021 0:00
CROC21122675,Los Angeles,0,2021,785000,815000,18,6/30/2021 0:00
CRNDP2107204,San Diego,7,2021,1060000,1175000,6,6/28/2021 0:00
CRPTP2104001,San Diego,7,2021,1199000,1216000,6,6/15/2021 0:00
CRIV21132766,Riverside,3,2021,499999,550000,6,6/24/2021 0:00
CRSW21120710,Riverside,3,2021,590000,650000,14,6/15/2021 0:00
CROC21128014,Orange,1,2021,919888,1050000,6,6/20/2021 0:00
BA321051077,Napa,25,2021,995000,1180000,6,6/15/2021 0:00
BA321051093,Marin,17,2021,1549000,1725000,29,7/8/2021 0:00
ME221072280,Sacramento,2,2021,365000,420000,3,7/1/2021 0:00
ME221065688,Placer,10,2021,549000,550000,10,6/22/2021 0:00
ME221069420,Placer,10,2021,995000,1000000,1,6/20/2021 0:00
ME221068624,Placer,10,2021,488000,530000,5,6/21/2021 0:00
ME221050311,Nevada,28,2021,849900,850000,0,6/14/2021 0:00
ME202001823,Butte,9,2020,489000,484000,37,7/25/2020 0:00
CRSB21137221,Los Angeles,0,2021,1049000,1275000,9,7/2/2021 0:00
CRAR21125404,Los Angeles,0,2021,4200000,4200000,2,6/3/2021 0:00
CNSR21123295,Ventura,12,2021,1275000,1355000,5,6/14/2021 0:00
TM21-749144,Los Angeles,0,2021,989824,1000824,8,6/23/2021 0:00
CREV21138055,San Bernardino,8,2021,410000,400000,5,6/28/2021 0:00
BA321050159,Contra Costa,4,2021,790000,850000,13,6/23/2021 0:00
CC40954010,Contra Costa,4,2021,899950,925000,11,6/22/2021 0:00
BE40953740,Alameda,5,2021,1895000,2210000,6,6/16/2021 0:00
CC40955693,Contra Costa,4,2021,2395000,2695000,7,6/30/2021 0:00
EB40953958,Alameda,5,2021,1695000,2305000,10,6/21/2021 0:00
BE40953640,Alameda,5,2021,1995000,3175000,5,6/15/2021 0:00
ML81848761,Santa Clara,6,2021,1099000,1420000,8,6/22/2021 0:00
BA321052053,Solano,14,2021,545000,610000,18,7/6/2021 0:00
ME221082292,El Dorado,18,2021,975000,1075000,1,7/13/2021 0:00
ME201900110,Butte,9,2019,75000,85000,24,2/4/2019 0:00
CRPW21130641,Los Angeles,0,2021,699000,800000,6,6/22/2021 0:00
TM21-747632,Los Angeles,0,2021,1099000,1250000,10,6/21/2021 0:00
