zip_code,county,County_Index,Year_Sale,List Price,Sale Price,Age,Sq Ft Total,Lot Size,DOM,Sale Date
92620,Orange,1,2021,1150000,1157000,44,2453,4840,13,6/25/2021 0:00
92624,Orange,1,2021,4188000,4015000,42,3500,10600,9,6/18/2021 0:00
92672,Orange,1,2021,1500000,1500000,63,1203,5000,0,6/15/2021 0:00
92688,Orange,1,2021,875000,905000,27,1605,4500,4,6/15/2021 0:00
92692,Orange,1,2021,1019900,1075000,30,2108,4675,73,6/23/2021 0:00
94306,Santa Clara,6,2021,3150000,3408000,73,1904,8070,6,6/16/2021 0:00
94521,Contra Costa,4,2021,1150000,1150000,46,2886,5520,0,7/21/2021 0:00
94553,Contra Costa,4,2021,850000,850000,54,1624,6720,2,4/23/2021 0:00
94556,Contra Costa,4,2021,2700000,3000000,50,3048,18050,4,6/22/2021 0:00
94582,Contra Costa,4,2021,1799000,2050000,18,2826,5220,2,6/13/2021 0:00
95037,Santa Clara,6,2021,1249000,1380000,26,2224,7313,7,6/21/2021 0:00
95066,Santa Cruz,26,2021,1074000,1185000,45,1616,15899,3,6/14/2021 0:00
95351,Stanislaus,16,2021,299999,325000,71,862,6599,6,6/22/2021 0:00
95614,El Dorado,18,2021,575000,575000,34,1741,85813,3,7/4/2021 0:00
95630,Sacramento,2,2021,580000,578000,31,1272,6922,5,6/30/2021 0:00
95758,Sacramento,2,2021,648000,702000,30,2084,7292,7,6/17/2021 0:00
95762,El Dorado,18,2021,590000,680000,58,1412,13068,3,6/20/2021 0:00
95926,Butte,9,2021,385000,407000,50,1342,6098,6,6/15/2021 0:00
95991,Sutter,23,2021,385000,385000,15,1968,4792,0,7/8/2021 0:00
90221,Los Angeles,0,2021,549000,575000,75,1264,5799,9,6/23/2021 0:00
92532,Riverside,3,2021,499900,525000,18,2372,7841,4,6/15/2021 0:00
92584,Riverside,3,2021,485000,525000,15,1869,11761,10,6/23/2021 0:00
92586,Riverside,3,2021,399000,450000,34,1496,7405,7,6/30/2021 0:00
92661,Orange,1,2021,2500000,2500000,81,1085,2700,20,6/29/2021 0:00
92694,Orange,1,2021,1400000,1575000,16,2751,9790,4,6/15/2021 0:00
92821,Orange,1,2021,975000,1055000,45,2526,5115,7,6/17/2021 0:00
92833,Orange,1,2021,929000,965000,45,2001,5500,11,6/21/2021 0:00
92840,Orange,1,2021,649900,695000,66,1125,8172,0,7/1/2021 0:00
93003,Ventura,12,2019,674900,658000,66,1359,5600,80,8/29/2019 0:00
93420,San Luis Obispo,20,2021,1175000,1240205,32,2174,10899,1,6/14/2021 0:00
94019,San Mateo,11,2021,1495000,1550000,56,1630,6900,5,6/23/2021 0:00
94062,San Mateo,11,2021,1795000,2000000,71,1770,12316,3,6/27/2021 0:00
94513,Contra Costa,4,2021,750000,837500,26,1896,11561,7,6/18/2021 0:00
94518,Contra Costa,4,2021,770000,850000,62,1247,6048,5,6/23/2021 0:00
94582,Contra Costa,4,2021,1298000,1410000,15,2194,3235,0,6/28/2021 0:00
94903,Marin,17,2021,1625000,1810000,59,2270,8124,13,6/28/2021 0:00
95050,Santa Clara,6,2021,1550000,1720000,71,1612,5849,7,6/16/2021 0:00
95129,Santa Clara,6,2021,2250000,2780000,64,1988,5928,4,6/15/2021 0:00
95148,Santa Clara,6,2021,1399000,1580000,42,2104,6886,10,6/19/2021 0:00
95670,Sacramento,2,2021,499000,540000,19,1468,5772,6,6/21/2021 0:00
95687,Solano,14,2021,615000,660000,22,1861,5672,7,6/17/2021 0:00
95961,Yuba,21,2020,478820,504457,0,2438,8872,15,12/27/2020 0:00
95961,Yuba,21,2021,339900,355000,0,1333,11326,3,5/3/2021 0:00
90808,Los Angeles,0,2021,749999,800000,76,1121,6659,9,6/23/2021 0:00
91331,Los Angeles,0,2021,929777,920000,74,2342,6534,5,6/16/2021 0:00
91701,San Bernardino,8,2021,685000,780000,33,1871,8750,7,6/16/2021 0:00
